ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
1654864201100858345,1654864201100846675,0,2,7370,T,A,0,265760000000,14,130,11670,11404021,MSFT
1654864201100899733,1654864201100886880,0,2,7370,T,A,0,265700000000,2,128,12853,11404028,MSFT
1654864203915069654,1654864203915055569,0,2,7370,T,A,0,265580000000,1,0,14085,11423666,MSFT
1654864203915069654,1654864203915055569,0,2,7370,T,A,0,265580000000,1,130,14085,11423667,MSFT
1654864204088582798,1654864204088570588,0,2,7370,T,A,0,265500000000,1,130,12210,11425337,MSFT
1654864205178959839,1654864205178947937,0,2,7370,T,N,0,265450000000,51,130,11902,11429992,MSFT
1654864205178985945,1654864205178974283,0,2,7370,T,N,0,265450000000,63,130,11662,11429994,MSFT
1654864206492437973,1654864206492426164,0,2,7370,T,A,0,265400000000,100,130,11809,11439355,MSFT
1654864206492964893,1654864206492950036,0,2,7370,T,A,0,265350000000,2,130,14857,11439361,MSFT
1654864206492992058,1654864206492980039,0,2,7370,T,A,0,265280000000,4,130,12019,11439364,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,N,0,265040000000,10,0,27361,11439922,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,265000000000,1,0,27361,11439923,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,265000000000,15,0,27361,11439924,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,265000000000,1,0,27361,11439925,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,N,0,264970000000,10,0,27361,11439926,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,N,0,264880000000,10,0,27361,11439927,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,264870000000,10,0,27361,11439928,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,264790000000,1,0,27361,11439929,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,264790000000,1,0,27361,11439930,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,264710000000,1,0,27361,11439931,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,264710000000,1,0,27361,11439932,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,264700000000,1,0,27361,11439933,MSFT
1654864206570758387,1654864206570731026,0,2,7370,T,A,0,264700000000,1,130,27361,11439934,MSFT
1654864207034119784,1654864207034108214,0,2,7370,T,B,0,264970000000,5,130,11570,11442657,MSFT
1654864207055159427,1654864207055147689,0,2,7370,T,B,0,264970000000,5,130,11738,11442993,MSFT
1654864207296076826,1654864207296064968,0,2,7370,T,N,0,265100000000,6,130,11858,11445273,MSFT
1654864207786393128,1654864207786381348,0,2,7370,T,N,0,265100000000,10,130,11780,11450839,MSFT
1654864207814448475,1654864207814436821,0,2,7370,T,N,0,265100000000,34,130,11654,11451047,MSFT
1654864207814451195,1654864207814438430,0,2,7370,T,N,0,265100000000,7,130,12765,11451048,MSFT
1654864209193443670,1654864209193432372,0,2,7370,T,N,0,264750000000,6,130,11298,11464232,MSFT
1654864210047376848,1654864210047360133,0,2,7370,T,A,0,264500000000,1,0,16715,11468953,MSFT
1654864210047376848,1654864210047360133,0,2,7370,T,A,0,264500000000,1,0,16715,11468954,MSFT
1654864210047376848,1654864210047360133,0,2,7370,T,A,0,264500000000,1,0,16715,11468955,MSFT
1654864210047376848,1654864210047360133,0,2,7370,T,A,0,264500000000,1,130,16715,11468956,MSFT
1654864210440157383,1654864210440146037,0,2,7370,T,N,0,264510000000,4,130,11346,11471897,MSFT
1654864210445491552,1654864210445479590,0,2,7370,T,N,0,264510000000,5,130,11962,11471955,MSFT
1654864210478255227,1654864210478243400,0,2,7370,T,N,0,264510000000,5,130,11827,11472045,MSFT
1654864210499471239,1654864210499459584,0,2,7370,T,N,0,264510000000,4,130,11655,11472103,MSFT
1654864210547978244,1654864210547966525,0,2,7370,T,N,0,264510000000,5,130,11719,11472242,MSFT
1654864210557232350,1654864210557221023,0,2,7370,T,N,0,264510000000,5,130,11327,11472271,MSFT
1654864210598977029,1654864210598966020,0,2,7370,T,N,0,264510000000,4,130,11009,11472523,MSFT
1654864210613853454,1654864210613496974,0,2,7370,T,N,0,264510000000,2,0,356480,11472578,MSFT
1654864210613853454,1654864210613496974,0,2,7370,T,N,0,264540000000,3,130,356480,11472579,MSFT
1654864210649431839,1654864210649419453,0,2,7370,T,N,0,264540000000,5,130,12386,11472836,MSFT
1654864210660094492,1654864210660082910,0,2,7370,T,N,0,264540000000,5,130,11582,11472896,MSFT
1654864211080349296,1654864211080337763,0,2,7370,T,N,0,264510000000,3,130,11533,11476839,MSFT
1654864211882157929,1654864211882143764,0,2,7370,T,A,0,264400000000,1,0,14165,11480095,MSFT
1654864211882157929,1654864211882143764,0,2,7370,T,A,0,264280000000,1,130,14165,11480096,MSFT
1654864212817720085,1654864212817708229,0,2,7370,T,N,0,264430000000,12,130,11856,11485956,MSFT
1654864213421092577,1654864213421079092,0,2,7370,T,A,0,264190000000,27,130,13485,11489323,MSFT
1654864213421836420,1654864213421822598,0,2,7370,T,A,0,264150000000,1,130,13822,11489327,MSFT
1654864215041140362,1654864215041123786,0,2,7370,T,N,0,264020000000,3,0,16576,11497652,MSFT
1654864215041140362,1654864215041123786,0,2,7370,T,A,0,264000000000,80,0,16576,11497653,MSFT
1654864215041140362,1654864215041123786,0,2,7370,T,A,0,264000000000,5,0,16576,11497654,MSFT
1654864215041140362,1654864215041123786,0,2,7370,T,A,0,264000000000,1,130,16576,11497655,MSFT
1654864215041147455,1654864215041123786,0,2,7370,T,A,0,264000000000,3,0,23669,11497656,MSFT
1654864215041147455,1654864215041123786,0,2,7370,T,A,0,264000000000,1,0,23669,11497657,MSFT
1654864215041147455,1654864215041123786,0,2,7370,T,A,0,264000000000,1,0,23669,11497658,MSFT
1654864215041147455,1654864215041123786,0,2,7370,T,A,0,264000000000,1,0,23669,11497659,MSFT
1654864215041147455,1654864215041123786,0,2,7370,T,A,0,264000000000,1,0,23669,11497660,MSFT
1654864215041147455,1654864215041123786,0,2,7370,T,A,0,264000000000,1,0,23669,11497661,MSFT
1654864215041147455,1654864215041123786,0,2,7370,T,A,0,264000000000,98,130,23669,11497662,MSFT
1654864215041305370,1654864215041290423,0,2,7370,T,A,0,264000000000,2,0,14947,11497669,MSFT
1654864215041305370,1654864215041290423,0,2,7370,T,A,0,264000000000,1,130,14947,11497670,MSFT
1654864215989842206,1654864215989828880,0,2,7370,T,A,0,263880000000,100,0,13326,11504020,MSFT
1654864215989842206,1654864215989828880,0,2,7370,T,A,0,263800000000,5,130,13326,11504021,MSFT
1654864217376974485,1654864217376963081,0,2,7370,T,N,0,263890000000,5,130,11404,11511732,MSFT
1654864218332130298,1654864218332118609,0,2,7370,T,N,0,263590000000,1,130,11689,11516193,MSFT
1654864218334695674,1654864218334683145,0,2,7370,T,A,0,263500000000,1,130,12529,11516197,MSFT
1654864218334783978,1654864218334772053,0,2,7370,T,A,0,263500000000,9,130,11925,11516198,MSFT
1654864218693386726,1654864218693375257,0,2,7370,T,N,0,263350000000,1,130,11469,11517577,MSFT
1654864218693651601,1654864218693636785,0,2,7370,T,A,0,263300000000,1,130,14816,11517578,MSFT
